mu,t_dp5,t_bdf,winner
0.1,0.006620168685913,0.0258538722991943,DP5
1.0,0.0128662586212158,0.0562796592712402,DP5
10.0,0.0486056804656982,0.1334056854248047,DP5
100.0,0.4306674003601074,0.1274964809417724,BDF
