t,x,y,z
0.0,1.0,1.0,1.0
0.005000500050005001,1.0031692822382394,1.1298857692846003,0.9920499649051471
0.010001000100010001,1.0125041979308091,1.260030832231542,0.9848893135168258
0.015001500150015001,1.0277685360804782,1.3912000051233635,0.9785595959017961
0.020002000200020003,1.048756999738007,1.524150343899183,0.9731155214233888
0.025002500250025005,1.0752952060021463,1.6596311441547007,0.9686249587415058
0.030003000300030003,1.1072396860196376,1.7983839411421982,0.9651689358126203
0.03500350035003501,1.1444778849852126,1.9411425097705381,0.9628416398897767
0.040004000400040006,1.1869210365504572,2.0886463425627215,0.9617599286740027
0.045004500450045004,1.2345464861383888,2.2415907804638016,0.9620645390701351
0.05000500050005001,1.287429353426218,2.4005727641279475,0.9638809283578057
0.05500550055005501,1.3456630344686111,2.5662107952238427,0.9673621715015098
0.060006000600060005,1.4093554919016518,2.739150852587149,0.9726916949184589
0.06500650065006501,1.4786292549428417,2.920066392220508,0.9800832764785805
0.07000700070007002,1.5536214193911004,3.1096583472935384,0.9897810455045185
0.075007500750075,1.6344836476267646,3.3086551281428394,1.0020594827716327
0.08000800080008001,1.7213821686115898,3.517812622271991,1.0172234205079995
0.08500850085008502,1.8144977778887483,3.7379141943515486,1.0356080423944107
0.09000900090009001,1.9140258375828305,3.969770686219049,1.0575788835643751
0.09500950095009501,2.02021086226834,4.2141353649664,1.0836604254764126
0.10001000100010002,2.1333956343379796,4.4717405604249025,1.1143456824292746
0.10501050105010501,2.25394195115846,4.743415685389672,1.1500245204990018
0.11001100110011001,2.3822274749572574,5.030004099630082,1.1912023520991202
0.11501150115011502,2.5186457591564664,5.332362981399374,1.2385003920141555
0.12001200120012001,2.6636062483728042,5.651363327434654,1.2926556573996335
0.12501250125012503,2.817534278417611,5.9878899529569,1.3545209677820815
0.13001300130013002,2.9808710762968436,6.3428414916709475,1.425064945059026
0.135013501350135,3.1540737602110855,6.717130395765507,1.5053720134989947
0.14001400140014003,3.337615339555539,7.1116829359131515,1.5966423997415156
0.14501450145014502,3.531984714920026,7.52743920127032,1.700192132797116
0.15001500150015,3.7376866780889926,7.965353099477321,1.8174530440473244
0.15501550155015503,3.9552419120415068,8.426392356658331,1.9499727672446714
0.16001600160016002,4.185169304689371,8.91145697957118,2.099431480064787
0.16501650165016502,4.427278262120103,9.41797619454307,2.268421270392686
0.17001700170017003,4.682218156356824,9.94677273396216,2.459203409468571
0.17501750175017503,4.951117346455125,10.500731336694782,2.6737999426422148
0.18001800180018002,5.234979233580368,11.082088176991848,2.9145088704358546
0.18501850185018504,5.534682261007687,11.692430864488848,3.183904148544192
0.19001900190019003,5.850979914121973,12.332698444205839,3.4848356878343885
0.19501950195019502,6.184500720417896,13.003181396547465,3.8204293543460706
