t,x,dx_dt
0.0,2.0,1.1102230246251565e-12
8.072142622925133,1.9994617386584963,-6.669662599989579e-05
16.144285245850266,1.9989232334121867,-6.672635333160315e-05
24.216427868775398,1.9983844861313833,-6.675804797851015e-05
32.28857049170053,1.9978454964630703,-6.678510078295119e-05
40.36071311462567,1.997306264053854,-6.681642905626006e-05
48.432855737550796,1.9967667885489948,-6.684835796022526e-05
56.50499836047593,1.9962270695928908,-6.687567499774616e-05
64.57714098340107,1.9956871068294983,-6.690692555544331e-05
72.6492836063262,1.9951468999014472,-6.693905874044503e-05
80.72142622925134,1.994606448450464,-6.696665666439117e-05
88.79356885217646,1.9940657521178247,-6.699785948249826e-05
96.86571147510159,1.9935248105434988,-6.703012589426294e-05
104.93785409802673,1.9929836233665188,-6.705806132600856e-05
113.00999672095186,1.9924421902254474,-6.708922528630978e-05
121.082139343877,1.9919005107575654,-6.712158495680853e-05
129.15428196680213,1.9913585845991864,-6.71498878723753e-05
137.22642458972726,1.9908164113861284,-6.718104850200746e-05
145.2985672126524,1.9902739907529519,-6.721341594406738e-05
153.37070983557754,1.9897313223332294,-6.724212409103814e-05
161.44285245850267,1.989188405760002,-6.727333801137547e-05
169.5149950814278,1.9886452406650765,-6.730564550139206e-05
177.58713770435293,1.9881018266792618,-6.733477331266613e-05
185.65928032727805,1.987558163432791,-6.736611712909735e-05
193.73142295020318,1.9870142505546815,-6.739827140833654e-05
201.80356557312834,1.9864700876729573,-6.742784330882046e-05
209.87570819605347,1.98592567441499,-6.745871639068923e-05
217.9478508189786,1.9853810104070342,-6.749128700356266e-05
226.01999344190372,1.9848360952742452,-6.75213240874939e-05
234.09213606482885,1.9842909286411188,-6.755171089167789e-05
242.164278687754,1.9837455101311177,-6.758470783019277e-05
250.23642131067913,1.9831998393664978,-6.761521675890947e-05
258.30856393360426,1.982653915968851,-6.76452038828046e-05
266.3807065565294,1.982107739558809,-6.767854165978804e-05
274.4528491794545,1.9815613097557063,-6.770953020485138e-05
282.52499180237965,1.9810146261781978,-6.773919314362331e-05
290.5971344253048,1.9804676884440464,-6.777279404346359e-05
298.6692770482299,1.9799204961696413,-6.780425110264332e-05
306.7414196711551,1.9793730489706696,-6.783367867413403e-05
314.8135622940802,1.9788253464619845,-6.786745165854313e-05
322.88570491700534,1.9782773882570077,-6.789938500340043e-05
330.95784753993047,1.9777291739684248,-6.792866602545189e-05
339.0299901628556,1.9771807032081405,-6.796255114238647e-05
347.1021327857807,1.9766319755865827,-6.799493967868386e-05
355.17427540870585,1.9760829907134045,-6.802414409534663e-05
363.246418031631,1.9755337481975228,-6.805809138477059e-05
371.3185606545561,1.9749842476463437,-6.809091401827061e-05
379.39070327748124,1.9744344886664573,-6.81201106633722e-05
387.46284590040636,1.973884470863751,-6.815404907101197e-05
395.53498852333155,1.9733341938425797,-6.818717035450561e-05
403.6071311462567,1.9727836572064343,-6.821612719143388e-05
411.6792737691818,1.9722328605581667,-6.825060627768664e-05
419.75141639210693,1.9716818034989876,-6.828325349594877e-05
427.82355901503206,1.971130485629385,-6.831398335904737e-05
435.8957016379572,1.9705789065489439,-6.834819377132817e-05
443.9678442608823,1.9700270658558,-6.83795697842271e-05
452.03998688380744,1.9694749631474382,-6.841209487795652e-05
460.1121295067326,1.9689225980200986,-6.844593558597012e-05
468.1842721296577,1.9683699700688344,-6.847632350037713e-05
476.2564147525829,1.967817078888039,-6.851002098962056e-05
484.328557375508,1.9672639240706373,-6.854362299968386e-05
492.40069999843314,1.9667105052085692,-6.857412748750846e-05
500.47284262135827,1.9661568218930168,-6.860882528769707e-05
508.5449852442834,1.965602873713593,-6.864128598849106e-05
516.6171278672085,1.9650486602591906,-6.867384882980332e-05
524.6892704901337,1.9644941811175338,-6.870797153446517e-05
532.7614131130588,1.963939435875066,-6.87391943365867e-05
540.833555735984,1.9633844241175051,-6.877276526040532e-05
548.905698358909,1.9628291454291729,-6.880713554480167e-05
556.9778409818342,1.962273599393252,-6.883785097500095e-05
565.0499836047593,1.9617177855922208,-6.887266756905319e-05
573.1221262276845,1.9611617036069562,-6.890624626443298e-05
581.1942688506095,1.9606053530174574,-6.893803305985102e-05
589.2664114735347,1.9600487334027517,-6.897316828791134e-05
597.3385540964598,1.9594918443403486,-6.900544136101416e-05
605.410696719385,1.95893468540704,-6.903901117460975e-05
613.4828393423102,1.9583772561782746,-6.907382110732385e-05
621.5549819652352,1.9578195562282494,-6.91051393886255e-05
629.6271245881604,1.9572615851304298,-6.913986272394368e-05
637.6992672110855,1.956703342456718,-6.91744395098226e-05
645.7714098340107,1.9561448277779665,-6.920599648907455e-05
653.8435524569358,1.955586040664181,-6.924162132548872e-05
661.9156950798609,1.9550269806837262,-6.92750645736595e-05
669.987837702786,1.9544676474041758,-6.930892970657965e-05
678.0599803257112,1.9539080403918094,-6.934374408018584e-05
686.1321229486363,1.9533481592116095,-6.937597274436769e-05
694.2042655715615,1.9527880034277156,-6.941057839604525e-05
702.2764081944866,1.9522275726027878,-6.944592345625722e-05
