rho,z_maxima
0.1,-4.0172397371386486e-23
0.1,-2.474191790524092e-23
0.1,-5.818047836825773e-25
0.1,-4.632083270886321e-25
0.1,-1.4433139265603105e-24
0.1,-2.9311893190455688e-24
0.1,-5.047357734162146e-24
0.1,-7.832683807918734e-24
0.1,-4.272786415128051e-23
0.1,-2.709505393661393e-23
0.1,-1.0178871893202616e-24
0.1,-8.054312445495556e-25
0.1,-2.02972481015895e-24
0.1,-3.761487531635881e-24
0.2,-2.016808169004041e-23
0.2,-9.519404884187356e-23
0.2,-6.11010561928591e-23
0.2,-3.280277750898282e-24
0.2,-2.5351030719742382e-24
0.2,-5.601983946502375e-24
0.2,-9.787427724907253e-24
0.2,-1.553985887206037e-23
0.2,-8.762444404767546e-23
0.2,-5.507866160691159e-23
0.2,-1.967247481137539e-24
0.2,-1.5229793993085075e-24
0.2,-3.9836998606546e-24
0.30000000000000004,-1.216210329247064e-23
0.30000000000000004,-2.0265532122295082e-23
0.30000000000000004,-3.110267152151108e-23
0.30000000000000004,-1.4890466817011417e-22
0.30000000000000004,-9.444947551767905e-23
0.30000000000000004,-5.082140271253238e-24
0.30000000000000004,-3.852139057167555e-24
0.30000000000000004,-8.611108828432969e-24
0.30000000000000004,-1.5210098551330054e-23
0.30000000000000004,-2.4386023991555356e-23
0.30000000000000004,-1.3693758700585343e-22
0.30000000000000004,-8.569324667393883e-23
0.30000000000000004,-3.200746563234856e-24
0.30000000000000004,-2.42192191108042e-24
0.4,-7.92268808788018e-24
0.4,-5.893466177546915e-24
0.4,-1.2837463548271526e-23
0.4,-2.2495932233288418e-23
0.4,-3.604925923446206e-23
0.4,-1.94457636350548e-22
0.4,-1.2118931509822405e-22
0.4,-5.171129484134491e-24
0.4,-3.831804389714652e-24
0.4,-9.556438889244034e-24
0.4,-1.7900632548689482e-23
0.4,-2.976307714485927e-23
0.4,-4.587210326634475e-23
0.5,-1.8123048608298849e-22
0.5,-1.2390864080185103e-23
0.5,-9.059775694782868e-24
0.5,-1.8892375369178163e-23
0.5,-3.254231539286326e-23
0.5,-5.1911551686649644e-23
0.5,-2.661010184731369e-22
0.5,-1.6324837067271284e-22
0.5,-8.268468673140004e-24
0.5,-6.016200026126097e-24
0.5,-1.4137503459888948e-23
0.5,-2.587767073139714e-23
0.5,-4.265730405748882e-23
0.6000000000000001,-3.512665444524363e-23
0.6000000000000001,-5.774545617599197e-23
0.6000000000000001,-2.328792894417081e-22
0.6000000000000001,-1.7422998816650835e-23
0.6000000000000001,-1.2524256911951277e-23
0.6000000000000001,-2.5512188173243995e-23
0.6000000000000001,-4.3660871124311627e-23
0.6000000000000001,-6.98437349257929e-23
0.6000000000000001,-2.0896979024197654e-22
0.6000000000000001,-1.189225719603079e-23
0.6000000000000001,-8.500876639790284e-24
0.7000000000000001,-9.028915845969288e-23
0.7000000000000001,-2.5890396388575323e-22
0.7000000000000001,-1.6117310429130532e-23
0.7000000000000001,-1.132219925540146e-23
0.7000000000000001,-2.503880771215392e-23
0.7000000000000001,-4.498921521843352e-23
0.7000000000000001,-7.422200252685674e-23
0.7000000000000001,-2.9001077572161515e-22
0.7000000000000001,-2.3260089266839085e-23
0.7000000000000001,-1.6439976004712985e-23
0.7000000000000001,-3.295372499304895e-23
0.7000000000000001,-5.62748359481029e-23
0.8,-3.7409103254945233e-22
0.8,-3.469069502776664e-23
0.8,-2.414216658868946e-23
0.8,-4.6290350767713645e-23
